Company Name,Job Title,Location,Job URL,Company LinkedIn,Job Description snippet
Granger & Co.,Assistant General Manager,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4387871641,https://uk.linkedin.com/company/granger-&-co.,"An opportunity for an experienced and approachable leader with a genuine love of hospitality and love of beautiful, ingredient-led food. Granger & Co...."
Cartier,"Sales Associate, Sloane Street (4 days per week)","London, England, United Kingdom",https://www.linkedin.com/jobs/view/4388525860,https://ch.linkedin.com/company/cartier,"JOB MISSIONIn this role, you will be an ambassador of the Maison, responsible for delivering a unique client experience before, during, and after each..."
M+C Saatchi UK,Junior Creative,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4388506844,https://uk.linkedin.com/company/m&c-saatchi,"Sport, culture and entertainment is where the most exciting work in marketing is happening right now. We’re looking for creatives who want to shape wh..."
Blacklock,Waiter/Waitress,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4389405518,https://uk.linkedin.com/company/blacklock,"WHY WORK FOR USAll our restaurants have been voted in the Top 100 restaurants in the UK but, most importantly, are happy places to work that put our p..."
Portico,Receptionist,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4388406282,https://uk.linkedin.com/company/porticoclientservices,"Portico is defined by our unique culture – One that rewards hard work and dedication, empowers people to grow, with the belief that work should be fun..."
Gucci,"GUCCI Client Advisor, Harrods","London, England, United Kingdom",https://www.linkedin.com/jobs/view/4387823438,https://it.linkedin.com/company/gucci,"SummaryWe are looking for Client Advisors to join our WRTW and MRTW departments in London Harrods on a permanent, full time basis.The Gucci Client Adv..."
The Shrewsbury and Telford Hospital NHS Trust,Service Manager,"Greater London, England, United Kingdom",https://www.linkedin.com/jobs/view/4389442713,https://uk.linkedin.com/company/the-shrewsbury-and-telford-hospital-nhs-trust,"Job OverviewThe post holder is responsible for supporting the Operational Manager in the management of the business activities of the Centre, to ensur..."
London Borough of Richmond upon Thames,Temporary Accommodation Visiting Officer,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4388735026,https://uk.linkedin.com/showcase/london-borough-of-richmond-upon-thames/,"Fixed term – expiring 10th August 2027Salary - £37,602 - £44,235 per annumFull time 36HoursLocation – 2nd Floor Bridas House, 90 Putney Bridge Road, L..."
Locke Hotels,Night Receptionist,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4388580763,https://uk.linkedin.com/company/locke-hotels,"Be part of an exciting new hotel opening.We’re launching a brand-new hotel in the heart of Canary Wharf in May 2026, featuring 279 rooms across 19 flo..."
HM Prison and Probation Service (HMPPS),Probation Services Officer,"Greater London, England, United Kingdom",https://www.linkedin.com/jobs/view/4389718831,https://uk.linkedin.com/showcase/hm-prison-service/,"£26,475 - £31,650Helping to keep the public safe. Giving people the chance to turn their lives around. Building a rewarding professional career. It’s ..."
Jimmy Choo,"Product Merchandising Assistant, Accessories","London Area, United Kingdom",https://www.linkedin.com/jobs/view/4389602080,https://uk.linkedin.com/company/jimmy-choo,About working for Jimmy Choo Jimmy Choo is a leading global luxury brand with an empowered sense of glamour and a playfully daring spirit. Jimmy Choo ...
